<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FEES,D,14/03/12,000000,0.3612000,0.3635000,0.3534500,0.3559600,1519550000
FEES,D,15/03/12,000000,0.3560000,0.3620000,0.3515000,0.3565000,1999190000
FEES,D,16/03/12,000000,0.3557900,0.3600200,0.3390000,0.3427500,2327850000
FEES,D,19/03/12,000000,0.3458000,0.3520000,0.3309200,0.3395500,2605530000
FEES,D,20/03/12,000000,0.3400000,0.3400000,0.3257000,0.3260000,1715210000
FEES,D,21/03/12,000000,0.3260000,0.3315800,0.3183100,0.3250000,2303080000
FEES,D,22/03/12,000000,0.3230300,0.3269300,0.3185000,0.3185300,1126260000
FEES,D,23/03/12,000000,0.3200400,0.3228000,0.3155500,0.3185000,1207830000
FEES,D,26/03/12,000000,0.3216200,0.3329800,0.3200000,0.3319000,2292530000
FEES,D,27/03/12,000000,0.3330300,0.3377000,0.3278000,0.3278000,1716750000
FEES,D,28/03/12,000000,0.3268300,0.3268300,0.3150000,0.3169900,1251640000
FEES,D,29/03/12,000000,0.3136400,0.3168800,0.3021000,0.3095100,2481810000
FEES,D,30/03/12,000000,0.3131000,0.3177400,0.3115000,0.3131000,1887460000
FEES,D,02/04/12,000000,0.3157800,0.3187400,0.3085500,0.3130100,1175990000
FEES,D,03/04/12,000000,0.3157400,0.3174900,0.3105400,0.3153000,1648180000
FEES,D,04/04/12,000000,0.3120000,0.3138700,0.3050000,0.3079400,1431410000
FEES,D,05/04/12,000000,0.3088000,0.3143000,0.3035000,0.3116200,1229760000
FEES,D,06/04/12,000000,0.3116200,0.3153300,0.3052600,0.3070000,546450000
FEES,D,09/04/12,000000,0.3069900,0.3106900,0.3041000,0.3090000,929260000
FEES,D,10/04/12,000000,0.3094000,0.3174000,0.3065000,0.3090000,874090000
FEES,D,11/04/12,000000,0.3055500,0.3159900,0.3051000,0.3120000,840290000
FEES,D,12/04/12,000000,0.3133000,0.3154000,0.2990000,0.3081500,1245700000
FEES,D,13/04/12,000000,0.3095000,0.3124300,0.3043000,0.3064700,728680000
FEES,D,16/04/12,000000,0.3050000,0.3100000,0.3025200,0.3074900,933230000
FEES,D,17/04/12,000000,0.3052900,0.3075000,0.2982100,0.3009800,1243780000
FEES,D,18/04/12,000000,0.3031600,0.3045400,0.2955000,0.2960100,1029480000
FEES,D,19/04/12,000000,0.2969200,0.3034000,0.2958100,0.2974400,1627740000
FEES,D,20/04/12,000000,0.2965500,0.2994600,0.2916000,0.2939700,1424980000
FEES,D,23/04/12,000000,0.2928500,0.2977700,0.2835200,0.2846000,1453360000
FEES,D,24/04/12,000000,0.2875000,0.2880000,0.2784000,0.2792000,1452520000
FEES,D,25/04/12,000000,0.2799000,0.2826000,0.2755500,0.2756700,1360850000
FEES,D,26/04/12,000000,0.2769900,0.2770000,0.2597700,0.2679800,2723520000
FEES,D,27/04/12,000000,0.2680000,0.2686700,0.2632300,0.2661000,1196840000
FEES,D,28/04/12,000000,0.2663000,0.2685000,0.2662100,0.2683200,205240000
FEES,D,02/05/12,000000,0.2690100,0.2756000,0.2585700,0.2600100,2238250000
FEES,D,03/05/12,000000,0.2614900,0.2679000,0.2588900,0.2650000,1913670000
FEES,D,04/05/12,000000,0.2640000,0.2640000,0.2454500,0.2511700,1627970000
FEES,D,05/05/12,000000,0.2511700,0.2526900,0.2462200,0.2500000,231280000
FEES,D,07/05/12,000000,0.2450600,0.2575700,0.2343000,0.2560600,1552970000
FEES,D,08/05/12,000000,0.2567100,0.2620000,0.2491600,0.2530400,919550000
FEES,D,10/05/12,000000,0.2520300,0.2598800,0.2472000,0.2478100,1441360000
FEES,D,11/05/12,000000,0.2449700,0.2478000,0.2226000,0.2273000,6192130000
FEES,D,12/05/12,000000,0.2272000,0.2320700,0.2244000,0.2303300,1473600000
FEES,D,14/05/12,000000,0.2293000,0.2299000,0.2126900,0.2139000,3540200000
FEES,D,15/05/12,000000,0.2143400,0.2175000,0.2036000,0.2167200,5383490000
FEES,D,16/05/12,000000,0.2112000,0.2310900,0.2060000,0.2275900,5545000000
FEES,D,17/05/12,000000,0.2260100,0.2349800,0.2171500,0.2280000,3743290000
FEES,D,18/05/12,000000,0.2240000,0.2365100,0.2165600,0.2290000,2881540000
FEES,D,21/05/12,000000,0.2300100,0.2334700,0.2260000,0.2298000,1983180000
FEES,D,22/05/12,000000,0.2317000,0.2325000,0.2212500,0.2264000,2072220000
FEES,D,23/05/12,000000,0.2218800,0.2219900,0.2030600,0.2050000,3883750000
FEES,D,24/05/12,000000,0.2080400,0.2095000,0.1855000,0.1920000,6692830000
FEES,D,25/05/12,000000,0.1920000,0.1998700,0.1880100,0.1911000,3284830000
FEES,D,28/05/12,000000,0.1940400,0.2011000,0.1930000,0.1945000,2448740000
FEES,D,29/05/12,000000,0.1968900,0.1978000,0.1845000,0.1918000,4805860000
FEES,D,30/05/12,000000,0.1888100,0.1900000,0.1800500,0.1804900,3673090000
FEES,D,31/05/12,000000,0.1786100,0.1827700,0.1676000,0.1715000,3565450000
FEES,D,01/06/12,000000,0.1720500,0.1727800,0.1592000,0.1599900,2975340000
FEES,D,04/06/12,000000,0.1567800,0.1664600,0.1513000,0.1625000,3904510000
FEES,D,05/06/12,000000,0.1635700,0.1757600,0.1635000,0.1749000,4757360000
FEES,D,06/06/12,000000,0.1759900,0.1906800,0.1742000,0.1896300,6902800000
FEES,D,07/06/12,000000,0.1910000,0.1968800,0.1834500,0.1930100,7478700000
FEES,D,08/06/12,000000,0.1900200,0.1930800,0.1865000,0.1916100,2632430000
FEES,D,09/06/12,000000,0.1937800,0.1984900,0.1927000,0.1961600,1922100000
FEES,D,13/06/12,000000,0.1959000,0.2028500,0.1912000,0.1942800,4047300000
FEES,D,14/06/12,000000,0.1940000,0.1960000,0.1870000,0.1922400,2707670000
FEES,D,15/06/12,000000,0.1933300,0.1964400,0.1912500,0.1948000,3065560000
FEES,D,18/06/12,000000,0.1978000,0.1985700,0.1946400,0.1963400,2397840000
FEES,D,19/06/12,000000,0.1955900,0.1979000,0.1890100,0.1926000,2478750000
FEES,D,20/06/12,000000,0.1920100,0.1922500,0.1808000,0.1814100,2175370000
FEES,D,21/06/12,000000,0.1789000,0.1884000,0.1733400,0.1819600,4875350000
FEES,D,22/06/12,000000,0.1795900,0.1828400,0.1765400,0.1789900,2276550000
FEES,D,25/06/12,000000,0.1780000,0.1834300,0.1770000,0.1791100,2133770000
FEES,D,26/06/12,000000,0.1801000,0.1844900,0.1796800,0.1824800,1530380000
FEES,D,27/06/12,000000,0.1837600,0.1948000,0.1831100,0.1928000,4398740000
FEES,D,28/06/12,000000,0.1942000,0.1978800,0.1882000,0.1896000,3695880000
FEES,D,29/06/12,000000,0.1938000,0.1989800,0.1937900,0.1956700,2308380000
FEES,D,02/07/12,000000,0.1957000,0.2020000,0.1927000,0.2006500,2952910000
FEES,D,03/07/12,000000,0.2027500,0.2154000,0.2012300,0.2146000,3753460000
FEES,D,04/07/12,000000,0.2146000,0.2273000,0.2101300,0.2244000,4763810000
FEES,D,05/07/12,000000,0.2231200,0.2310000,0.2171800,0.2210000,5566890000
FEES,D,06/07/12,000000,0.2200000,0.2249900,0.2185100,0.2204900,3201870000
FEES,D,09/07/12,000000,0.2205000,0.2268900,0.2190600,0.2239700,2559960000
FEES,D,10/07/12,000000,0.2228000,0.2385000,0.2225200,0.2370000,6398060000
FEES,D,11/07/12,000000,0.2357800,0.2496800,0.2291000,0.2315000,8378010000
FEES,D,12/07/12,000000,0.2305300,0.2359300,0.2211200,0.2259200,4642080000
FEES,D,13/07/12,000000,0.2288000,0.2335000,0.2268100,0.2319000,3100600000
FEES,D,16/07/12,000000,0.2332500,0.2395000,0.2322000,0.2379900,3919640000
FEES,D,17/07/12,000000,0.2394700,0.2444000,0.2382100,0.2389800,4253370000
FEES,D,18/07/12,000000,0.2400000,0.2435000,0.2321000,0.2374300,4008630000
FEES,D,19/07/12,000000,0.2404300,0.2437100,0.2383100,0.2397400,3482530000
FEES,D,20/07/12,000000,0.2390900,0.2393300,0.2344000,0.2367700,2185300000
FEES,D,23/07/12,000000,0.2350100,0.2350100,0.2261500,0.2280000,3799170000
FEES,D,24/07/12,000000,0.2294900,0.2322400,0.2234600,0.2312800,3492530000
